,County,Weighted number Women,Weighted number Men,Have ever been pregnant,Any method,Any modern method,Female sterilization,Male sterilization,IUD,Injectables,Implants,Pill,Male condom,Female condom,Emer- gency contraception,SDM,LAM,Other Modern Methods,Any traditional nmethod,Rhythm,Withdrawal,Other Tradtional Methods,Not currently using,Unmet Need for Family Planning,Met Need for Family Planning (All Methods),Total Demand for Family Planning,County,No Education,Some Primary,Completed Primary,Some Secondary,Completed Secondary,More Than Secondary,Median Years Completed,Registered,,2+,Median Birth Interval,Live birth,Stillbirth,Miscarriage,Induced abortion,Number of Pregnancies,Mean,Wanted fertility Rate,Total fertility Rate,Percentage who used,Mainly wife,Jointly,Mainly husband,Other,% Pressured to become pregnant,Radio,Television,Newspaper/ Magazine,Mobile phone,Social media,Poster/ leaflet/ brochure,Outdoor sign or billboard or events,Community Meeting,Friends/ peers,Internet,None of these,% Visited by  fieldworker who discussed FP,% who visited a health facility and discussed FP,% who visited a health facility and did not discuss FP,No contact
25,Trans Nzoia,675.0,272.0,17.8,69.8,65.4,3.0,0.0,2.2,24.4,27.0,4.9,1.5,0.0,0.1,1.0,1.2,0.0,4.4,2.6,0.6,1.2,30.2,13.6,69.2,82.8,Trans Nzoia  ,2.2,22.8,18.5,23.6,17.0,15.9,7.6,17.4,98.2,1.8,47.0,87.6,1.3,11.1,0.0,247.0,4.0,3.1,3.7,9.2,34.5,60.0,5.5,0.0,12.9,72.0,53.8,16.8,12.0,33.7,64.2,62.3,54.7,89.6,30.3,2.9,1.0,18.6,31.8,81.4
26,Uasin Gishu,983.0,451.0,10.7,71.1,62.7,1.5,0.0,5.8,22.9,23.2,5.7,1.8,0.0,0.5,0.0,1.2,0.0,8.4,6.6,1.8,0.0,28.9,13.3,67.4,80.6,Uasin Gishu  ,1.4,13.6,14.2,15.5,23.1,32.3,9.2,24.6,98.7,1.3,48.2,80.5,3.1,14.6,1.8,395.0,3.4,2.5,2.8,10.9,44.1,51.1,4.8,0.0,13.6,67.5,67.0,28.7,18.0,49.5,75.1,51.3,47.5,85.8,49.4,2.9,3.4,18.6,46.7,79.6
27,Elgeyo/Marakwet,228.0,110.0,12.1,74.3,59.0,3.4,0.0,2.8,24.4,20.4,3.0,2.2,0.2,0.8,0.1,1.7,0.0,15.3,10.9,4.1,0.3,25.7,13.5,71.1,84.6,Elgeyo/Marakwet  ,0.0,16.3,22.1,16.6,25.3,19.6,7.9,14.8,96.2,3.8,36.9,94.0,0.0,6.0,0.0,103.0,3.6,3.6,4.0,6.5,42.9,51.0,5.6,0.6,10.8,66.1,43.7,21.3,10.1,23.1,20.0,23.9,50.7,88.1,24.8,5.2,4.5,7.8,14.9,90.2
28,Nandi,622.0,265.0,10.5,65.6,60.0,1.6,0.0,0.2,29.8,21.0,3.4,3.0,0.0,0.3,0.2,0.5,0.0,5.6,4.6,1.0,0.0,34.4,17.7,63.8,81.6,Nandi  ,0.7,22.5,22.4,18.9,16.6,19.1,7.7,25.8,98.0,2.0,53.6,89.6,1.3,8.9,0.2,197.0,3.4,2.3,3.0,3.5,22.9,69.5,6.9,0.7,7.8,60.8,43.6,18.4,5.1,24.6,47.9,16.0,36.2,77.4,22.3,11.8,2.9,10.1,39.8,88.3
29,Baringo,378.0,165.0,20.3,57.8,47.7,0.5,0.0,3.3,16.6,17.8,3.8,1.4,0.0,0.3,0.6,3.5,0.0,10.1,9.1,1.0,0.0,42.2,16.6,55.4,72.0,Baringo  ,5.9,19.8,20.5,16.5,21.3,16.0,7.7,18.4,95.7,4.3,32.7,92.5,1.4,5.8,0.4,160.0,4.5,3.5,4.4,6.1,51.6,36.6,11.2,0.6,11.0,65.4,49.2,29.8,20.5,28.4,57.7,24.7,48.3,87.3,23.3,3.0,2.1,16.7,51.7,82.6
30,Laikipia,332.0,145.0,9.1,72.3,64.5,4.5,0.0,6.9,24.0,15.0,12.1,1.2,0.0,0.5,0.0,0.4,0.0,7.8,7.3,0.5,0.0,27.7,4.7,75.7,80.4,Laikipia  ,5.6,13.5,19.9,20.6,24.4,16.0,7.8,15.6,97.6,2.4,44.6,86.7,0.9,12.0,0.5,112.0,3.5,2.6,3.1,6.1,35.7,60.1,3.4,0.8,13.6,44.0,52.1,8.4,7.6,34.2,45.0,42.2,11.1,74.4,19.7,7.0,0.5,3.7,45.2,95.8
31,Nakuru,1658.0,670.0,17.3,72.5,66.6,3.2,0.0,7.4,23.5,18.5,8.6,2.0,0.0,0.5,1.2,1.7,0.0,5.9,3.8,1.6,0.5,27.5,8.3,72.1,80.4,Nakuru  ,0.9,13.9,20.0,21.0,23.6,20.7,8.3,15.6,95.3,4.7,44.2,88.3,2.5,8.9,0.2,590.0,3.6,2.8,3.1,5.6,41.9,51.4,6.7,0.0,9.1,55.1,54.7,18.4,8.8,42.7,29.6,30.2,33.1,76.6,43.1,10.9,1.5,10.5,50.3,88.4
32,Narok,718.0,313.0,28.1,65.2,52.2,1.6,0.0,1.0,16.5,24.5,1.8,0.8,0.0,0.0,1.5,4.5,0.0,13.0,6.4,6.2,0.5,34.8,14.8,65.9,80.7,Narok  ,14.9,26.8,16.8,17.5,10.8,13.1,7.0,12.9,91.5,8.5,33.1,91.8,1.5,5.7,1.0,391.0,4.5,4.3,4.9,6.5,42.7,47.3,10.0,0.0,10.7,75.4,40.1,18.8,15.2,24.7,38.7,22.0,64.8,91.1,20.3,2.5,1.4,14.3,41.1,85.0
33,Kajiado,887.0,339.0,21.8,63.9,57.3,1.1,0.0,7.6,21.9,12.9,10.5,2.1,0.0,0.4,0.0,0.5,0.0,6.6,3.7,2.9,0.0,36.1,12.5,59.9,72.4,Kajiado  ,11.0,9.8,13.3,14.3,23.1,28.5,9.1,22.5,95.4,4.6,44.9,85.2,1.5,12.0,1.3,365.0,3.8,3.1,3.5,8.1,33.8,55.7,9.6,1.0,10.7,66.4,60.7,35.8,13.4,49.3,47.3,40.2,42.1,75.6,53.6,7.0,1.2,18.9,47.8,81.1
34,Kericho,729.0,330.0,14.5,60.2,60.0,2.8,0.0,1.6,20.8,29.6,3.5,1.1,0.0,0.0,0.0,0.6,0.0,0.3,0.0,0.3,0.0,39.8,17.1,60.0,77.1,Kericho  ,0.4,17.7,22.9,19.7,19.7,19.5,7.8,37.6,98.4,1.6,44.5,91.9,1.9,6.2,0.0,240.0,2.8,2.0,3.3,3.9,37.7,57.7,4.5,0.0,18.5,78.4,68.5,57.1,32.4,44.6,60.9,65.5,79.1,87.7,37.6,3.9,0.7,17.4,11.5,81.9
